2024-08-29T10:30:05.649483+0000  ||  ℹ️INFO  ||  login  ||  В систему вошел пользователь || {'user': 'admin'}
2024-08-29T11:51:18.785137+0000  ||  ℹ️INFO  ||  login  ||  В систему вошел пользователь || {'user': 'admin'}
2024-08-29T12:03:14.066311+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-08-29T12:03:14.076064+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-08-29T12:03:14.076360+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T09:38:43.944081+0000  ||  ℹ️INFO  ||  login  ||  В систему вошел пользователь || {'user': 'admin'}
2024-10-02T09:38:46.773151+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T09:38:46.784756+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T09:38:46.785642+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T09:39:01.480114+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T09:39:01.481951+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T09:39:01.482575+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T09:57:26.356107+0000  ||  ℹ️INFO  ||  login  ||  В систему вошел пользователь || {'user': 'admin'}
2024-10-02T09:57:37.804064+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T09:57:37.805564+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T09:57:37.806727+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T10:02:59.520668+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T10:02:59.521059+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T10:02:59.524174+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T10:03:01.227747+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T10:03:01.229772+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T10:03:01.230354+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T10:21:20.877183+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T10:21:20.885688+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T10:21:20.889643+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
2024-10-02T10:21:37.730962+0000  ||  ℹ️INFO  ||  create_user  ||  Добавлен новый пользователь || {}
2024-10-02T10:25:23.559253+0000  ||  ℹ️INFO  ||  create_user  ||  Добавлен новый пользователь || {}
2024-10-02T10:35:31.032118+0000  ||  ℹ️INFO  ||  read_accesses  ||  Выведен список доступов || {}
2024-10-02T10:35:31.051230+0000  ||  ℹ️INFO  ||  read_roles  ||  Выведен список ролей || {}
2024-10-02T10:35:31.053181+0000  ||  ℹ️INFO  ||  read_users  ||  Выведен список пользователей || {}
